,user_id,timestamp,page_location,engagement_time_msec,quiz_part,engagement_time_sec,diff_time
5755,295,2023-04-10 17:17:29.005178,https://lookiero.be/user/quiz/you,26538,you,26.538,13.095525
5776,295,2023-04-10 17:17:42.100703,https://lookiero.be/user/quiz/photos,18101,photos,18.101,159.17698900000002
5854,295,2023-04-10 17:20:21.277692,https://lookiero.be/user/quiz/register,18753,register,18.753,18.753
27990,309,2023-03-18 22:12:46.529858,https://lookiero.fr/user/quiz,,,,10.383852000000001
27995,309,2023-03-18 22:12:56.913710,https://lookiero.fr/user/quiz/work,10378,work,10.378,18.14047
27996,309,2023-03-18 22:13:15.054180,https://lookiero.fr/user/quiz/fit,18115,fit,18.115,38.957872
27997,309,2023-03-18 22:13:54.012052,https://lookiero.fr/user/quiz/highlight,43949,highlight,43.949,26.041925000000003
27998,309,2023-03-18 22:14:20.053977,https://lookiero.fr/user/quiz/body-shape,21041,body-shape,21.041,61.220898000000005
27980,309,2023-03-18 22:15:21.274875,https://lookiero.fr/user/quiz/eyes,66210,eyes,66.21,20.772779
27981,309,2023-03-18 22:15:42.047654,https://lookiero.fr/user/quiz/hair,15747,hair,15.747,10.012512000000001
27999,309,2023-03-18 22:15:52.060166,https://lookiero.fr/user/quiz/sizes,10031,sizes,10.031,23.841916
27982,309,2023-03-18 22:16:15.902082,https://lookiero.fr/user/quiz/measurements,23841,measurements,23.841,9.191117
28000,309,2023-03-18 22:16:25.093199,https://lookiero.fr/user/quiz/focus,9187,focus,9.187,20.865111000000002
28001,309,2023-03-18 22:16:45.958310,https://lookiero.fr/user/quiz/adventurous,25866,adventurous,25.866,47.893622
27983,309,2023-03-18 22:17:33.851932,https://lookiero.fr/user/quiz/styles,42776,styles,42.776,54.678463
28002,309,2023-03-18 22:18:28.530395,https://lookiero.fr/user/quiz/prices,59781,prices,59.781,15.211538000000001
28003,309,2023-03-18 22:18:43.741933,https://lookiero.fr/user/quiz/avoid,10162,avoid,10.162,28.103006
28004,309,2023-03-18 22:19:11.844939,https://lookiero.fr/user/quiz/footwear,28124,footwear,28.124,37.762964000000004
28005,309,2023-03-18 22:19:49.607903,https://lookiero.fr/user/quiz/you,42752,you,42.752,27.68635
28006,309,2023-03-18 22:20:17.294253,https://lookiero.fr/user/quiz/photos,22672,photos,22.672,27.532017000000003
28007,309,2023-03-18 22:21:31.164429,https://lookiero.fr/user/quiz/register,46577,register,46.577,46.577
12754,331,2023-06-11 12:19:13.976360,https://lookiero.fr/user/quiz,,,,10.242083000000001
12755,331,2023-06-11 12:19:24.218443,https://lookiero.fr/user/quiz/work,10188,work,10.188,6.799899000000001
12756,331,2023-06-11 12:19:31.018342,https://lookiero.fr/user/quiz/fit,6835,fit,6.835,17.440744000000002
12729,331,2023-06-11 12:19:48.459086,https://lookiero.fr/user/quiz/highlight,17430,highlight,17.43,6.559686
12757,331,2023-06-11 12:19:55.018772,https://lookiero.fr/user/quiz/body-shape,6538,body-shape,6.538,59.242698000000004
12730,331,2023-06-11 12:20:54.261470,https://lookiero.fr/user/quiz/eyes,64148,eyes,64.148,11.952675000000001
12792,331,2023-06-11 12:21:06.214145,https://lookiero.fr/user/quiz/sizes,3706,sizes,3.706,19.912933000000002
12793,331,2023-06-11 12:21:26.127078,https://lookiero.fr/user/quiz/measurements,16158,measurements,16.158,6.920172
12758,331,2023-06-11 12:21:33.047250,https://lookiero.fr/user/quiz/focus,6925,focus,6.925,14.927184
12759,331,2023-06-11 12:21:47.974434,https://lookiero.fr/user/quiz/adventurous,14881,adventurous,14.881,19.595849
12731,331,2023-06-11 12:22:07.570283,https://lookiero.fr/user/quiz/styles,24627,styles,24.627,53.446156
12761,331,2023-06-11 12:23:01.016439,https://lookiero.fr/user/quiz/avoid,4903,avoid,4.903,19.000329
12794,331,2023-06-11 12:23:20.016768,https://lookiero.fr/user/quiz/footwear,19107,footwear,19.107,28.159757000000003
12734,331,2023-06-11 12:23:48.176525,https://lookiero.fr/user/quiz/you,23154,you,23.154,28.799210000000002
12796,331,2023-06-11 12:24:16.975735,https://lookiero.fr/user/quiz/photos,28790,photos,28.79,113.851977
12765,331,2023-06-11 12:26:10.827712,https://lookiero.fr/user/quiz/register,25885,register,25.885,25.885
36663,366,2023-01-23 12:32:45.735308,https://lookiero.fr/user/quiz/work,,work,,16.634314
36684,366,2023-01-23 12:33:02.369622,https://lookiero.fr/user/quiz/fit,21626,fit,21.626,17.005609
36664,366,2023-01-23 12:33:19.375231,https://lookiero.fr/user/quiz/highlight,12019,highlight,12.019,9.753881
36665,366,2023-01-23 12:33:29.129112,https://lookiero.fr/user/quiz/body-shape,9740,body-shape,9.74,15.602898000000001
36666,366,2023-01-23 12:33:44.732010,https://lookiero.fr/user/quiz/eyes,15587,eyes,15.587,6.143241000000001
36667,366,2023-01-23 12:33:50.875251,https://lookiero.fr/user/quiz/hair,6116,hair,6.116,16.881556
36669,366,2023-01-23 12:34:07.756807,https://lookiero.fr/user/quiz/measurements,14961,measurements,14.961,13.041495000000001
36670,366,2023-01-23 12:34:20.798302,https://lookiero.fr/user/quiz/focus,8035,focus,8.035,9.491839
36668,366,2023-01-23 12:34:30.290141,https://lookiero.fr/user/quiz/adventurous,9449,adventurous,9.449,11.628072000000001
36671,366,2023-01-23 12:34:41.918213,https://lookiero.fr/user/quiz/styles,11625,styles,11.625,20.844955000000002
36672,366,2023-01-23 12:35:02.763168,https://lookiero.fr/user/quiz/prices,20814,prices,20.814,7.384658000000001
36685,366,2023-01-23 12:35:10.147826,https://lookiero.fr/user/quiz/avoid,7378,avoid,7.378,5.4614590000000005
36673,366,2023-01-23 12:35:15.609285,https://lookiero.fr/user/quiz/footwear,10460,footwear,10.46,22.279317000000002
36674,366,2023-01-23 12:35:37.888602,https://lookiero.fr/user/quiz/you,17256,you,17.256,13.585148
36686,366,2023-01-23 12:35:51.473750,https://lookiero.fr/user/quiz/photos,13238,photos,13.238,9.8385
36688,366,2023-01-23 12:36:01.312250,https://lookiero.fr/user/quiz/register,5815,register,5.815,5.815
18338,375,2023-07-24 22:01:01.644387,https://lookiero.fr/user/quiz/work,,work,,9.626393
18339,375,2023-07-24 22:01:11.270780,https://lookiero.fr/user/quiz/fit,5774,fit,5.774,5.482359000000001
18340,375,2023-07-24 22:01:16.753139,https://lookiero.fr/user/quiz/highlight,5473,highlight,5.473,28.047165000000003
18344,375,2023-07-24 22:01:44.800304,https://lookiero.fr/user/quiz/sizes,3599,sizes,3.599,7.314635000000001
18345,375,2023-07-24 22:01:52.114939,https://lookiero.fr/user/quiz/hair,11591,hair,11.591,0.67574
18346,375,2023-07-24 22:01:52.790679,https://lookiero.fr/user/quiz/eyes,58,eyes,0.058,3.839083
18347,375,2023-07-24 22:01:56.629762,https://lookiero.fr/user/quiz/body-shape,69,body-shape,0.069,0.069
31325,421,2023-02-19 16:19:04.497719,https://lookiero.de/user/quiz/work,,work,,21.790334
31316,421,2023-02-19 16:19:26.288053,https://lookiero.de/user/quiz/highlight,13704,highlight,13.704,109.103581
31320,421,2023-02-19 16:21:15.391634,https://lookiero.de/user/quiz/sizes,4371,sizes,4.371,303.69660500000003
31321,421,2023-02-19 16:26:19.088239,https://lookiero.de/user/quiz/hair,115596,hair,115.596,115.596
27776,437,2023-03-18 15:45:05.986558,https://lookiero.fr/user/quiz/work,,work,,5.91859
27777,437,2023-03-18 15:45:11.905148,https://lookiero.fr/user/quiz/fit,5917,fit,5.917,12.439664
27778,437,2023-03-18 15:45:24.344812,https://lookiero.fr/user/quiz/highlight,12437,highlight,12.437,19.043647
27779,437,2023-03-18 15:45:43.388459,https://lookiero.fr/user/quiz/body-shape,24058,body-shape,24.058,74.752261
27841,437,2023-03-18 15:46:58.140720,https://lookiero.fr/user/quiz/eyes,74749,eyes,74.749,14.652735000000002
27780,437,2023-03-18 15:47:12.793455,https://lookiero.fr/user/quiz/hair,9644,hair,9.644,19.532173
27781,437,2023-03-18 15:47:32.325628,https://lookiero.fr/user/quiz/sizes,19525,sizes,19.525,25.193847
27842,437,2023-03-18 15:47:57.519475,https://lookiero.fr/user/quiz/measurements,25196,measurements,25.196,4.686625
27782,437,2023-03-18 15:48:02.206100,https://lookiero.fr/user/quiz/focus,9700,focus,9.7,16.761713
27843,437,2023-03-18 15:48:18.967813,https://lookiero.fr/user/quiz/adventurous,11752,adventurous,11.752,24.373831000000003
27846,437,2023-03-18 15:48:43.341644,https://lookiero.fr/user/quiz/styles,24368,styles,24.368,65.326435
27852,437,2023-03-18 15:49:48.668079,https://lookiero.fr/user/quiz/prices,70336,prices,70.336,11.256401
27899,437,2023-03-18 15:49:59.924480,https://lookiero.fr/user/quiz/avoid,6249,avoid,6.249,19.450199
27853,437,2023-03-18 15:50:19.374679,https://lookiero.fr/user/quiz/footwear,19443,footwear,19.443,28.970194000000003
27856,437,2023-03-18 15:50:48.344873,https://lookiero.fr/user/quiz/you,28969,you,28.969,13.102306
27857,437,2023-03-18 15:51:01.447179,https://lookiero.fr/user/quiz/photos,18115,photos,18.115,62.640301
27797,437,2023-03-18 15:52:38.226467,https://lookiero.fr/user/quiz/register,24455,register,24.455,24.455
36178,468,2023-01-23 19:33:54.226922,https://lookiero.de/user/quiz/work,1,work,0.001,18.868186
36153,468,2023-01-23 19:34:13.095108,https://lookiero.de/user/quiz/fit,19317,fit,19.317,20.570758
36140,468,2023-01-23 19:34:33.665866,https://lookiero.de/user/quiz/highlight,20626,highlight,20.626,23.731522000000002
36141,468,2023-01-23 19:34:57.397388,https://lookiero.de/user/quiz/body-shape,28560,body-shape,28.56,31.461469
